"PrecursorName","Replicate","Total.Area"
"01_malic acid","Aniger_SF53_IMS_31_47_20V_25Aug",1285165
"01_malic acid","Aniger_SF53_IMS_32_48_20V_25Aug",1093449
"01_malic acid","Apseud_SF42_IMS_01_01_20V_25Aug",1157121
"01_malic acid","Apseud_SF42_IMS_02_02_20V_25Aug",890116
"01_malic acid","Apseud_SF42_IMS_03_03_20V_25Aug",849396
"01_malic acid","Apseud_SF42_IMS_05_05_20V_25Aug",987558
"01_malic acid","Apseud_SF42_IMS_06_06_20V_25Aug",1183810
"01_malic acid","Apseud_SF42_IMS_07_07_20V_25Aug",974444
"01_malic acid","Apseud_SF42_IMS_08_08_20V_25Aug",1047033
"01_malic acid","Apseud_SF42_IMS_09_09_20V_25Aug",961585
"01_malic acid","Apseud_SF42_IMS_10_10_20V_25Aug",1103989
"01_malic acid","Apseud_SF42_IMS_11_11_20V_25Aug",1032809
"01_malic acid","Apseud_SF42_IMS_12_12_20V_25Aug",861432
"01_malic acid","Apseud_SF42_IMS_13_13_20V_25Aug",872032
"01_malic acid","Apseud_SF42_IMS_14_14_20V_25Aug",1232449
"01_malic acid","Apseud_SF42_IMS_15_15_20V_25Aug",913308
"01_malic acid","Apseud_SF42_IMS_16_16_20V_25Aug",1000514
"01_malic acid","TEST_Aniger_SF42_IMS_16_32_20V_24Aug",1114034
"03_cis-aconitic acid","Aniger_SF42_IMS_01_17_20V_25Aug",261853
"03_cis-aconitic acid","Aniger_SF42_IMS_02_18_20V_25Aug",171841
"03_cis-aconitic acid","Aniger_SF42_IMS_03_19_20V_25Aug",160560
"03_cis-aconitic acid","Aniger_SF42_IMS_04_20_20V_25Aug",175477
"03_cis-aconitic acid","Aniger_SF42_IMS_05_21_20V_25Aug",247330
"03_cis-aconitic acid","Aniger_SF42_IMS_06_22_20V_25Aug",187807
"03_cis-aconitic acid","Aniger_SF42_IMS_07_23_20V_25Aug",226028
"03_cis-aconitic acid","Aniger_SF42_IMS_08_24_20V_25Aug",142886
"03_cis-aconitic acid","Aniger_SF42_IMS_09_25_20V_25Aug",149798
"03_cis-aconitic acid","Aniger_SF42_IMS_10_26_20V_25Aug",85535
"03_cis-aconitic acid","Aniger_SF42_IMS_11_27_20V_25Aug",133484
"03_cis-aconitic acid","Aniger_SF42_IMS_12_28_20V_25Aug",105963
"03_cis-aconitic acid","Aniger_SF42_IMS_13_29_20V_25Aug",370359
"03_cis-aconitic acid","Aniger_SF42_IMS_14_30_20V_25Aug",163943
"03_cis-aconitic acid","Aniger_SF42_IMS_15_31_20V_25Aug",193643
"03_cis-aconitic acid","Aniger_SF53_IMS_17_33_20V_25Aug",289919
"03_cis-aconitic acid","Aniger_SF53_IMS_18_34_20V_25Aug",290875
"03_cis-aconitic acid","Aniger_SF53_IMS_19_35_20V_25Aug",263213
"03_cis-aconitic acid","Aniger_SF53_IMS_20_36_20V_25Aug",291348
"03_cis-aconitic acid","Aniger_SF53_IMS_21_37_20V_25Aug",219367
"03_cis-aconitic acid","Aniger_SF53_IMS_22_38_20V_25Aug",248485
"03_cis-aconitic acid","Aniger_SF53_IMS_23_39_20V_25Aug",375847
"03_cis-aconitic acid","Aniger_SF53_IMS_24_40_20V_25Aug",280595
"03_cis-aconitic acid","Aniger_SF53_IMS_25_41_20V_25Aug",341504
"03_cis-aconitic acid","Aniger_SF53_IMS_26_42_20V_25Aug",288397
"03_cis-aconitic acid","Aniger_SF53_IMS_27_43_20V_25Aug",327765
"03_cis-aconitic acid","Aniger_SF53_IMS_28_44_20V_25Aug",357268
"03_cis-aconitic acid","Aniger_SF53_IMS_29_45_20V_25Aug",283395
"03_cis-aconitic acid","Aniger_SF53_IMS_30_46_20V_25Aug",269150
"03_cis-aconitic acid","Aniger_SF53_IMS_31_47_20V_25Aug",319175
"03_cis-aconitic acid","Aniger_SF53_IMS_32_48_20V_25Aug",284136
"03_cis-aconitic acid","Apseud_SF42_IMS_01_01_20V_25Aug",314974
"03_cis-aconitic acid","Apseud_SF42_IMS_02_02_20V_25Aug",293572
"03_cis-aconitic acid","Apseud_SF42_IMS_03_03_20V_25Aug",308002
"03_cis-aconitic acid","Apseud_SF42_IMS_05_05_20V_25Aug",216272
"03_cis-aconitic acid","Apseud_SF42_IMS_06_06_20V_25Aug",167502
"03_cis-aconitic acid","Apseud_SF42_IMS_07_07_20V_25Aug",95360
"03_cis-aconitic acid","Apseud_SF42_IMS_08_08_20V_25Aug",191108
"03_cis-aconitic acid","Apseud_SF42_IMS_09_09_20V_25Aug",167958
"03_cis-aconitic acid","Apseud_SF42_IMS_10_10_20V_25Aug",288750
"03_cis-aconitic acid","Apseud_SF42_IMS_11_11_20V_25Aug",236856
"03_cis-aconitic acid","Apseud_SF42_IMS_12_12_20V_25Aug",243070
"03_cis-aconitic acid","Apseud_SF42_IMS_13_13_20V_25Aug",190922
"03_cis-aconitic acid","Apseud_SF42_IMS_14_14_20V_25Aug",193696
"03_cis-aconitic acid","Apseud_SF42_IMS_15_15_20V_25Aug",151952
"03_cis-aconitic acid","Apseud_SF42_IMS_16_16_20V_25Aug",216833
"03_cis-aconitic acid","TEST_Aniger_SF42_IMS_16_32_20V_24Aug",318389
"04_trans-aconitic acid","Aniger_SF42_IMS_01_17_20V_25Aug",196584
"04_trans-aconitic acid","Aniger_SF42_IMS_02_18_20V_25Aug",47316
"04_trans-aconitic acid","Aniger_SF42_IMS_03_19_20V_25Aug",83296
"04_trans-aconitic acid","Aniger_SF42_IMS_04_20_20V_25Aug",108529
"04_trans-aconitic acid","Aniger_SF42_IMS_05_21_20V_25Aug",232054
"04_trans-aconitic acid","Aniger_SF42_IMS_06_22_20V_25Aug",139662
"04_trans-aconitic acid","Aniger_SF42_IMS_07_23_20V_25Aug",193732
"04_trans-aconitic acid","Aniger_SF42_IMS_08_24_20V_25Aug",88396
"04_trans-aconitic acid","Aniger_SF42_IMS_09_25_20V_25Aug",106759
"04_trans-aconitic acid","Aniger_SF42_IMS_10_26_20V_25Aug",25364
"04_trans-aconitic acid","Aniger_SF42_IMS_11_27_20V_25Aug",71624
"04_trans-aconitic acid","Aniger_SF42_IMS_12_28_20V_25Aug",64279
"04_trans-aconitic acid","Aniger_SF42_IMS_13_29_20V_25Aug",298301
"04_trans-aconitic acid","Aniger_SF42_IMS_14_30_20V_25Aug",104249
"04_trans-aconitic acid","Aniger_SF42_IMS_15_31_20V_25Aug",162175
"04_trans-aconitic acid","Aniger_SF53_IMS_17_33_20V_25Aug",207527
"04_trans-aconitic acid","Aniger_SF53_IMS_18_34_20V_25Aug",192341
"04_trans-aconitic acid","Aniger_SF53_IMS_19_35_20V_25Aug",260812
"04_trans-aconitic acid","Aniger_SF53_IMS_20_36_20V_25Aug",298633
"04_trans-aconitic acid","Aniger_SF53_IMS_21_37_20V_25Aug",170928
"04_trans-aconitic acid","Aniger_SF53_IMS_22_38_20V_25Aug",354316
"04_trans-aconitic acid","Aniger_SF53_IMS_23_39_20V_25Aug",312618
"04_trans-aconitic acid","Aniger_SF53_IMS_24_40_20V_25Aug",303375
"04_trans-aconitic acid","Aniger_SF53_IMS_25_41_20V_25Aug",392129
"04_trans-aconitic acid","Aniger_SF53_IMS_26_42_20V_25Aug",294772
"04_trans-aconitic acid","Aniger_SF53_IMS_27_43_20V_25Aug",369623
"04_trans-aconitic acid","Aniger_SF53_IMS_28_44_20V_25Aug",297343
"04_trans-aconitic acid","Aniger_SF53_IMS_29_45_20V_25Aug",126644
"04_trans-aconitic acid","Aniger_SF53_IMS_30_46_20V_25Aug",251187
"04_trans-aconitic acid","Aniger_SF53_IMS_31_47_20V_25Aug",362455
"04_trans-aconitic acid","Aniger_SF53_IMS_32_48_20V_25Aug",195570
"04_trans-aconitic acid","Apseud_SF42_IMS_01_01_20V_25Aug",103765
"04_trans-aconitic acid","Apseud_SF42_IMS_02_02_20V_25Aug",173201
"04_trans-aconitic acid","Apseud_SF42_IMS_03_03_20V_25Aug",101131
"04_trans-aconitic acid","Apseud_SF42_IMS_05_05_20V_25Aug",102212
"04_trans-aconitic acid","Apseud_SF42_IMS_06_06_20V_25Aug",28619
"04_trans-aconitic acid","Apseud_SF42_IMS_07_07_20V_25Aug",3927
"04_trans-aconitic acid","Apseud_SF42_IMS_08_08_20V_25Aug",72936
"04_trans-aconitic acid","Apseud_SF42_IMS_09_09_20V_25Aug",42864
"04_trans-aconitic acid","Apseud_SF42_IMS_10_10_20V_25Aug",129800
"04_trans-aconitic acid","Apseud_SF42_IMS_11_11_20V_25Aug",71905
"04_trans-aconitic acid","Apseud_SF42_IMS_12_12_20V_25Aug",92851
"04_trans-aconitic acid","Apseud_SF42_IMS_13_13_20V_25Aug",61492
"04_trans-aconitic acid","Apseud_SF42_IMS_14_14_20V_25Aug",88180
"04_trans-aconitic acid","Apseud_SF42_IMS_15_15_20V_25Aug",12904
"04_trans-aconitic acid","Apseud_SF42_IMS_16_16_20V_25Aug",157251
"04_trans-aconitic acid","TEST_Aniger_SF42_IMS_16_32_20V_24Aug",166649
"05_isocitric acid","Aniger_SF42_IMS_01_17_20V_25Aug",15762514
"05_isocitric acid","Aniger_SF42_IMS_02_18_20V_25Aug",16709827
"05_isocitric acid","Aniger_SF42_IMS_03_19_20V_25Aug",12177639
"05_isocitric acid","Aniger_SF42_IMS_04_20_20V_25Aug",13629634
"05_isocitric acid","Aniger_SF42_IMS_05_21_20V_25Aug",16294272
"05_isocitric acid","Aniger_SF42_IMS_06_22_20V_25Aug",22289400
"05_isocitric acid","Aniger_SF42_IMS_07_23_20V_25Aug",14424710
"05_isocitric acid","Aniger_SF42_IMS_08_24_20V_25Aug",14937853
"05_isocitric acid","Aniger_SF42_IMS_09_25_20V_25Aug",19928594
"05_isocitric acid","Aniger_SF42_IMS_10_26_20V_25Aug",8065293
"05_isocitric acid","Aniger_SF42_IMS_11_27_20V_25Aug",14922109
"05_isocitric acid","Aniger_SF42_IMS_12_28_20V_25Aug",13515776
"05_isocitric acid","Aniger_SF42_IMS_13_29_20V_25Aug",26164290
"05_isocitric acid","Aniger_SF42_IMS_14_30_20V_25Aug",13134771
"05_isocitric acid","Aniger_SF42_IMS_15_31_20V_25Aug",19776456
"05_isocitric acid","Aniger_SF53_IMS_17_33_20V_25Aug",20553432
"05_isocitric acid","Aniger_SF53_IMS_18_34_20V_25Aug",20763930
"05_isocitric acid","Aniger_SF53_IMS_19_35_20V_25Aug",20697692
"05_isocitric acid","Aniger_SF53_IMS_20_36_20V_25Aug",24836262
"05_isocitric acid","Aniger_SF53_IMS_21_37_20V_25Aug",17521672
"05_isocitric acid","Aniger_SF53_IMS_22_38_20V_25Aug",27026536
"05_isocitric acid","Aniger_SF53_IMS_23_39_20V_25Aug",28228870
"05_isocitric acid","Aniger_SF53_IMS_24_40_20V_25Aug",25893342
"05_isocitric acid","Aniger_SF53_IMS_25_41_20V_25Aug",30662416
"05_isocitric acid","Aniger_SF53_IMS_26_42_20V_25Aug",25616882
"05_isocitric acid","Aniger_SF53_IMS_27_43_20V_25Aug",31946166
"05_isocitric acid","Aniger_SF53_IMS_28_44_20V_25Aug",29432648
"05_isocitric acid","Aniger_SF53_IMS_29_45_20V_25Aug",24727870
"05_isocitric acid","Aniger_SF53_IMS_30_46_20V_25Aug",23774210
"05_isocitric acid","Aniger_SF53_IMS_31_47_20V_25Aug",27253476
"05_isocitric acid","Aniger_SF53_IMS_32_48_20V_25Aug",20358140
"05_isocitric acid","Apseud_SF42_IMS_01_01_20V_25Aug",20641076
"05_isocitric acid","Apseud_SF42_IMS_02_02_20V_25Aug",23019394
"05_isocitric acid","Apseud_SF42_IMS_03_03_20V_25Aug",15251196
"05_isocitric acid","Apseud_SF42_IMS_05_05_20V_25Aug",14479996
"05_isocitric acid","Apseud_SF42_IMS_06_06_20V_25Aug",9765395
"05_isocitric acid","Apseud_SF42_IMS_07_07_20V_25Aug",4585725
"05_isocitric acid","Apseud_SF42_IMS_08_08_20V_25Aug",13809217
"05_isocitric acid","Apseud_SF42_IMS_09_09_20V_25Aug",8459242
"05_isocitric acid","Apseud_SF42_IMS_10_10_20V_25Aug",10699146
"05_isocitric acid","Apseud_SF42_IMS_11_11_20V_25Aug",16610586
"05_isocitric acid","Apseud_SF42_IMS_12_12_20V_25Aug",14930423
"05_isocitric acid","Apseud_SF42_IMS_13_13_20V_25Aug",14481928
"05_isocitric acid","Apseud_SF42_IMS_14_14_20V_25Aug",7552933
"05_isocitric acid","Apseud_SF42_IMS_15_15_20V_25Aug",6544950
"05_isocitric acid","Apseud_SF42_IMS_16_16_20V_25Aug",15842936
"05_isocitric acid","TEST_Aniger_SF42_IMS_16_32_20V_24Aug",34464364
"06_citric acid","Aniger_SF42_IMS_01_17_20V_25Aug",10927185
"06_citric acid","Aniger_SF42_IMS_02_18_20V_25Aug",7792628
"06_citric acid","Aniger_SF42_IMS_03_19_20V_25Aug",7071950
"06_citric acid","Aniger_SF42_IMS_04_20_20V_25Aug",8389045
"06_citric acid","Aniger_SF42_IMS_05_21_20V_25Aug",6219791
"06_citric acid","Aniger_SF42_IMS_06_22_20V_25Aug",7752354
"06_citric acid","Aniger_SF42_IMS_07_23_20V_25Aug",9541669
"06_citric acid","Aniger_SF42_IMS_08_24_20V_25Aug",8285393
"06_citric acid","Aniger_SF42_IMS_09_25_20V_25Aug",9414525
"06_citric acid","Aniger_SF42_IMS_10_26_20V_25Aug",10393694
"06_citric acid","Aniger_SF42_IMS_11_27_20V_25Aug",8551320
"06_citric acid","Aniger_SF42_IMS_12_28_20V_25Aug",9469336
"06_citric acid","Aniger_SF42_IMS_13_29_20V_25Aug",9149360
"06_citric acid","Aniger_SF42_IMS_14_30_20V_25Aug",10456573
"06_citric acid","Aniger_SF42_IMS_15_31_20V_25Aug",9663344
"06_citric acid","Aniger_SF53_IMS_17_33_20V_25Aug",8143244
"06_citric acid","Aniger_SF53_IMS_18_34_20V_25Aug",8956015
"06_citric acid","Aniger_SF53_IMS_19_35_20V_25Aug",8849870
"06_citric acid","Aniger_SF53_IMS_20_36_20V_25Aug",9070527
"06_citric acid","Aniger_SF53_IMS_21_37_20V_25Aug",8407844
"06_citric acid","Aniger_SF53_IMS_22_38_20V_25Aug",10254465
"06_citric acid","Aniger_SF53_IMS_23_39_20V_25Aug",8816278
"06_citric acid","Aniger_SF53_IMS_24_40_20V_25Aug",8601212
"06_citric acid","Aniger_SF53_IMS_25_41_20V_25Aug",10052600
"06_citric acid","Aniger_SF53_IMS_26_42_20V_25Aug",7936531
"06_citric acid","Aniger_SF53_IMS_27_43_20V_25Aug",8766150
"06_citric acid","Aniger_SF53_IMS_28_44_20V_25Aug",10194509
"06_citric acid","Aniger_SF53_IMS_29_45_20V_25Aug",8365082
"06_citric acid","Aniger_SF53_IMS_30_46_20V_25Aug",9202377
"06_citric acid","Aniger_SF53_IMS_31_47_20V_25Aug",8079461
"06_citric acid","Aniger_SF53_IMS_32_48_20V_25Aug",8721375
"06_citric acid","Apseud_SF42_IMS_01_01_20V_25Aug",2019261
"06_citric acid","Apseud_SF42_IMS_02_02_20V_25Aug",6844033
"06_citric acid","Apseud_SF42_IMS_03_03_20V_25Aug",5972128
"06_citric acid","Apseud_SF42_IMS_05_05_20V_25Aug",6879595
"06_citric acid","Apseud_SF42_IMS_06_06_20V_25Aug",5688717
"06_citric acid","Apseud_SF42_IMS_07_07_20V_25Aug",5499734
"06_citric acid","Apseud_SF42_IMS_08_08_20V_25Aug",5969451
"06_citric acid","Apseud_SF42_IMS_09_09_20V_25Aug",5808608
"06_citric acid","Apseud_SF42_IMS_10_10_20V_25Aug",3155962
"06_citric acid","Apseud_SF42_IMS_11_11_20V_25Aug",5057587
"06_citric acid","Apseud_SF42_IMS_12_12_20V_25Aug",8310500
"06_citric acid","Apseud_SF42_IMS_13_13_20V_25Aug",4389271
"06_citric acid","Apseud_SF42_IMS_14_14_20V_25Aug",3380283
"06_citric acid","Apseud_SF42_IMS_15_15_20V_25Aug",5448089
"06_citric acid","Apseud_SF42_IMS_16_16_20V_25Aug",7648304
"06_citric acid","TEST_Aniger_SF42_IMS_16_32_20V_24Aug",10538915
"07_succinic acid","Aniger_SF42_IMS_01_17_20V_25Aug",13639
"07_succinic acid","Aniger_SF42_IMS_02_18_20V_25Aug",36139
"07_succinic acid","Aniger_SF42_IMS_03_19_20V_25Aug",11394
"07_succinic acid","Aniger_SF42_IMS_04_20_20V_25Aug",11838
"07_succinic acid","Aniger_SF42_IMS_05_21_20V_25Aug",20522
"07_succinic acid","Aniger_SF42_IMS_06_22_20V_25Aug",30032
"07_succinic acid","Aniger_SF42_IMS_07_23_20V_25Aug",11547
"07_succinic acid","Aniger_SF42_IMS_08_24_20V_25Aug",31288
"07_succinic acid","Aniger_SF42_IMS_09_25_20V_25Aug",32990
"07_succinic acid","Aniger_SF42_IMS_10_26_20V_25Aug",11674
"07_succinic acid","Aniger_SF42_IMS_11_27_20V_25Aug",20399
"07_succinic acid","Aniger_SF42_IMS_12_28_20V_25Aug",27750
"07_succinic acid","Aniger_SF42_IMS_13_29_20V_25Aug",19437
"07_succinic acid","Aniger_SF42_IMS_14_30_20V_25Aug",40266
"07_succinic acid","Aniger_SF42_IMS_15_31_20V_25Aug",66141
"07_succinic acid","Aniger_SF53_IMS_17_33_20V_25Aug",17204
"07_succinic acid","Aniger_SF53_IMS_18_34_20V_25Aug",33484
"07_succinic acid","Aniger_SF53_IMS_19_35_20V_25Aug",26412
"07_succinic acid","Aniger_SF53_IMS_20_36_20V_25Aug",36808
"07_succinic acid","Aniger_SF53_IMS_21_37_20V_25Aug",1918
"07_succinic acid","Aniger_SF53_IMS_22_38_20V_25Aug",11710
"07_succinic acid","Aniger_SF53_IMS_23_39_20V_25Aug",24492
"07_succinic acid","Aniger_SF53_IMS_24_40_20V_25Aug",14463
"07_succinic acid","Aniger_SF53_IMS_25_41_20V_25Aug",32814
"07_succinic acid","Aniger_SF53_IMS_26_42_20V_25Aug",11569
"07_succinic acid","Aniger_SF53_IMS_27_43_20V_25Aug",17113
"07_succinic acid","Aniger_SF53_IMS_28_44_20V_25Aug",8141
"07_succinic acid","Aniger_SF53_IMS_29_45_20V_25Aug",36874
"07_succinic acid","Aniger_SF53_IMS_30_46_20V_25Aug",39739
"07_succinic acid","Aniger_SF53_IMS_31_47_20V_25Aug",53928
"07_succinic acid","Aniger_SF53_IMS_32_48_20V_25Aug",33322
"07_succinic acid","Apseud_SF42_IMS_01_01_20V_25Aug",37112
"07_succinic acid","Apseud_SF42_IMS_02_02_20V_25Aug",61978
"07_succinic acid","Apseud_SF42_IMS_03_03_20V_25Aug",56581
"07_succinic acid","Apseud_SF42_IMS_05_05_20V_25Aug",29591
"07_succinic acid","Apseud_SF42_IMS_06_06_20V_25Aug",12164
"07_succinic acid","Apseud_SF42_IMS_07_07_20V_25Aug",9524
"07_succinic acid","Apseud_SF42_IMS_08_08_20V_25Aug",24489
"07_succinic acid","Apseud_SF42_IMS_09_09_20V_25Aug",9762
"07_succinic acid","Apseud_SF42_IMS_10_10_20V_25Aug",13114
"07_succinic acid","Apseud_SF42_IMS_11_11_20V_25Aug",17045
"07_succinic acid","Apseud_SF42_IMS_12_12_20V_25Aug",14600
"07_succinic acid","Apseud_SF42_IMS_13_13_20V_25Aug",19735
"07_succinic acid","Apseud_SF42_IMS_14_14_20V_25Aug",2789
"07_succinic acid","Apseud_SF42_IMS_15_15_20V_25Aug",13433
"07_succinic acid","Apseud_SF42_IMS_16_16_20V_25Aug",31163
"07_succinic acid","TEST_Aniger_SF42_IMS_16_32_20V_24Aug",43856
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_01_17_20V_25Aug",NA
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_02_18_20V_25Aug",609
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_03_19_20V_25Aug",527
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_04_20_20V_25Aug",2814
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_05_21_20V_25Aug",218
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_06_22_20V_25Aug",2859
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_07_23_20V_25Aug",446
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_08_24_20V_25Aug",NA
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_09_25_20V_25Aug",7576
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_10_26_20V_25Aug",0
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_11_27_20V_25Aug",NA
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_12_28_20V_25Aug",NA
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_13_29_20V_25Aug",NA
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_14_30_20V_25Aug",1636
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_15_31_20V_25Aug",8956
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_17_33_20V_25Aug",989
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_18_34_20V_25Aug",NA
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_19_35_20V_25Aug",NA
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_20_36_20V_25Aug",NA
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_21_37_20V_25Aug",1328
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_22_38_20V_25Aug",489
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_23_39_20V_25Aug",466
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_24_40_20V_25Aug",1271
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_25_41_20V_25Aug",NA
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_26_42_20V_25Aug",1586
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_27_43_20V_25Aug",3551
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_28_44_20V_25Aug",1438
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_29_45_20V_25Aug",2382
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_30_46_20V_25Aug",4096
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_31_47_20V_25Aug",1314
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF53_IMS_32_48_20V_25Aug",3836
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_01_01_20V_25Aug",14445
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_02_02_20V_25Aug",10368
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_03_03_20V_25Aug",21725
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_05_05_20V_25Aug",9382
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_06_06_20V_25Aug",35650
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_07_07_20V_25Aug",13037
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_08_08_20V_25Aug",9779
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_09_09_20V_25Aug",26624
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_10_10_20V_25Aug",13471
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_11_11_20V_25Aug",19778
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_12_12_20V_25Aug",6990
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_13_13_20V_25Aug",15728
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_14_14_20V_25Aug",23064
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_15_15_20V_25Aug",18278
"08_alpha-ketoglutaric acid (aKG)","Apseud_SF42_IMS_16_16_20V_25Aug",15978
"08_alpha-ketoglutaric acid (aKG)","TEST_Aniger_SF42_IMS_16_32_20V_24Aug",11383
"09_lactic acid","Aniger_SF42_IMS_01_17_20V_25Aug",NA
"09_lactic acid","Aniger_SF42_IMS_02_18_20V_25Aug",443
"09_lactic acid","Aniger_SF42_IMS_03_19_20V_25Aug",563
"09_lactic acid","Aniger_SF42_IMS_04_20_20V_25Aug",1695
"09_lactic acid","Aniger_SF42_IMS_05_21_20V_25Aug",57
"09_lactic acid","Aniger_SF42_IMS_06_22_20V_25Aug",11126
"09_lactic acid","Aniger_SF42_IMS_07_23_20V_25Aug",NA
"09_lactic acid","Aniger_SF42_IMS_08_24_20V_25Aug",11340
"09_lactic acid","Aniger_SF42_IMS_09_25_20V_25Aug",41980
"09_lactic acid","Aniger_SF42_IMS_10_26_20V_25Aug",17596
"09_lactic acid","Aniger_SF42_IMS_11_27_20V_25Aug",33453
"09_lactic acid","Aniger_SF42_IMS_12_28_20V_25Aug",39814
"09_lactic acid","Aniger_SF42_IMS_13_29_20V_25Aug",1858
"09_lactic acid","Aniger_SF42_IMS_14_30_20V_25Aug",6066
"09_lactic acid","Aniger_SF42_IMS_15_31_20V_25Aug",13074
"09_lactic acid","Aniger_SF53_IMS_17_33_20V_25Aug",2319
"09_lactic acid","Aniger_SF53_IMS_18_34_20V_25Aug",2365
"09_lactic acid","Aniger_SF53_IMS_19_35_20V_25Aug",8683
"09_lactic acid","Aniger_SF53_IMS_20_36_20V_25Aug",5397
