"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription","ConfidenceLevel"
"14_citramalic acid","Aniger_SF53_IMS_20_36_20V_25Aug",147.029897,2.09,122.18,"20V",46131,37535,6.1,0.29,0.0854477001145836,3,0.992729583606735,0.0503322295684717,0.01,0.0547722557505166,0.08,14.7545473216452,1.15,0.99933449212867,"RT-CCS-DIA",2
"15_glyceraldehyde-3-P (G3P)","Aniger_SF42_IMS_02_18_20V_25Aug",168.990749,2.6,124.95,"20V",552,552,-16,0.2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"16_phosphoenolpyruvate (PEP)","Apseud_SF42_IMS_15_15_20V_25Aug",166.975099,3.62,121.84,"20V",2280,2280,0.7,0.32,-0.599392646093237,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"17_glucose 6-phosphate (G6P)","Apseud_SF42_IMS_01_01_20V_25Aug",259.022443,3.31,147.27,"20V",49908,17.8569463548831,6.8,-0.29,0.762001765464787,5,0.961506475431877,0.0773089041874651,-0.108333333333333,0.0367423461417477,-0.00499999999999999,13.9101401862095,20.8,0.905403871635573,"RT-CCS-DIA",2
"18_fructose 6-phosphate (F6P)","Apseud_SF42_IMS_14_14_20V_25Aug",259.022443,3.27,144.3,"20V",53753,23264,6.1,0.0699999999999998,0.796188496188494,3,0.952715823343654,0.02,-0.01,0.0251661147842358,0.00499999999999999,8.35324288325598,10.15,0.99777175106467,"RT-CCS-DIA",2
"20_6-phosphogluconic acid (6PG)","Aniger_SF53_IMS_29_45_20V_25Aug",275.017358,4.6,144.08,"20V",626,79,16.7,-0.2,NA,3,0.22824781436094,0.0544671154612275,-0.0450000000000002,0.045,-0.0375,12.5402020185748,9.05,0.235360409692717,"None",0
"21_3-phosphoglyceric acid (3PG)","Apseud_SF42_IMS_06_06_20V_25Aug",184.985664,4.79,125.05,"20V",6572,6572,-2.3,-0.00999999999999979,0.16817273090764,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"22_quinic acid","Aniger_SF42_IMS_11_27_20V_25Aug",191.0561,1.62,134.75,"20V",194188,2095,4.3,0.12,NA,4,0.0340955209057939,0.148593404968054,0.216,0.128918578955867,0.218,10.6382799361551,7.84,0.265372873588264,"None",0
"23_protocatechuic acid","Aniger_SF53_IMS_23_39_20V_25Aug",153.0193,1.15,123.03,"20V",7645,1267,-41.7,-0.05,NA,3,0.471099578074266,0.0692820323027551,-0.0200000000000001,0.0189296944860009,0.0125,24.0584531228977,-11.675,0.900403375492959,"None",0
"27_mevalonate-5-phosphate (mev-5P)","Apseud_SF42_IMS_05_05_20V_25Aug",227.0326,2.91,138.11,"20V",15279,1059,-24.6,-0.0899999999999999,NA,2,0.375257663676217,0.0556776436283004,0.0500000000000001,0.0472581562625261,-0.0366666666666667,37.9935520845314,-26.7,0.615009813746005,"None",0
"35_gluconic acid","Aniger_SF53_IMS_19_35_20V_25Aug",195.051,1.78,132.86,"20V",59381,47740,12.2,0.0800000000000001,-0.039138943248548,4,0.993310433039308,0.0512835256198323,-0.036,0.0350713558335004,0.014,21.4276690286181,-0.900000000000001,0.9981665558961,"RT-CCS-DIA",2
"38_ribose 5-phosphate","Aniger_SF53_IMS_25_41_20V_25Aug",229.0119,2.84,139.33,"20V",5644,5644,-12.4,0.14,0.805138878920533,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"39_glutamic acid","Aniger_SF42_IMS_10_26_20V_25Aug",146.0459,2.09,124.39,"20V",15491,15044,4.7,0.0899999999999999,-0.00385883109574968,1,0.999959861058985,0.0282842712474619,-0.02,0,0,8.55599205235723,-1.35,0.998122191488618,"RT-CCS-DIA",2
"40_alanine","Aniger_SF42_IMS_08_24_20V_25Aug",88.0404,1.58,116.55,"20V",29244,29244,7.9,-0.02,0.302960102960101,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"41_UDP-glucose","Apseud_SF42_IMS_09_09_20V_25Aug",565.0477,3.26,207.17,"20V",714834,495517,10.7,0.16,0.128493507747273,4,0.999153529310576,0.0357770876399964,0.0159999999999997,0.0230217288664427,0.034,11.4929108584379,0.92,0.998926410460774,"RT-CCS-DIA",2
"42_glucose 1-phosphate (G1P)","Aniger_SF53_IMS_25_41_20V_25Aug",259.0224,3.33,148.5,"20V",82301,57402,10.1,-0.0699999999999998,0.588148148148151,4,0.994307569294095,0.0779743547584718,-0.024,0.0995991967839099,0.022,11.7363537778988,2.98,0.998776262231433,"RT-CCS-DIA",2
"43_cis,cis-muconic acid","Aniger_SF53_IMS_31_47_20V_25Aug",141.0193,1.58,121.82,"20V",49067,49067,0.2,-0.02,-0.114266951239524,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"45_dihydroxyacetone phosphate (DHAP)","Apseud_SF42_IMS_14_14_20V_25Aug",168.9907,2.52,124.95,"20V",18619,1040,-26.7,0.12,NA,3,0.526434133752931,0.128062484748657,-0.0499999999999999,0.0170782512765993,-0.0175,36.6689128099902,-13.425,0.550711125542715,"None",0
"46_glutamine","Aniger_SF42_IMS_02_18_20V_25Aug",145.0619,1.73,127.59,"20V",302927,288056,14.3,-0.0700000000000001,-0.0648953679755514,5,0.999219332628616,0.0163299316185545,-0.00666666666666667,0.0150554530541816,0.0133333333333333,7.92607511109166,3.86666666666667,0.998405725427773,"RT-CCS-DIA",2
"47_xylitol","Aniger_SF42_IMS_08_24_20V_25Aug",151.0612,1.23,125.27,"20V",27251,23935,6.6,0.03,-0.16189031691546,3,0.997076983067819,0.0516397779494323,-0.02,0.0270801280154532,0.02,9.11861648862735,-0.675,0.998860747678096,"RT-CCS-DIA",2
"48_trehalose","Aniger_SF42_IMS_11_27_20V_25Aug",341.1089,1.85,169.82,"20V",839110,595556,13.9,0.05,0.0518195736662312,8,0.998954852063933,0.0282842712474618,-0.0133333333333333,0.0198606254796883,0.00777777777777777,8.87975224879613,9.53333333333333,0.998170695218682,"RT-CCS-DIA",2
"49_phenylalanine","Aniger_SF42_IMS_01_17_20V_25Aug",164.0717,1.19,139.88,"20V",86098,75198,16.8,-0.01,-0.331998856162413,5,0.998211062596868,0.035637059362411,-0.005,0.0250333111406914,0.0133333333333333,10.3168632183754,8.41666666666667,0.998469134799207,"RT-CCS-DIA",2
"50_arabitol","Aniger_SF53_IMS_27_43_20V_25Aug",151.0612,1.23,125.27,"20V",212779,177959,11.5,0.03,-0.16189031691546,3,0.999777977163517,0.0382970843102536,0.01,0.0369684550213647,-0.00500000000000001,15.8763975762766,2,0.998615518385129,"RT-CCS-DIA",2
"51_catechol","Apseud_SF42_IMS_10_10_20V_25Aug",109.0295,1.19,115.52,"20V",546,221,-5.3,0.39,NA,1,0.77103238966186,0,0,0,0,10.6773123959169,2.25,0.992493685370353,"None",0
"52_glucose","Aniger_SF42_IMS_07_23_20V_25Aug",179.0561,1.35,141.57,"20V",18338,15347,12.1,0.05,-0.000706364342731352,2,0.998337901652795,0.0399999999999999,7.40159976856068e-17,0.0152752523165195,0.0133333333333333,4.60579345317757,7.36666666666667,0.998245971604706,"RT-CCS-DIA",2
"53_erythrose 4-phosphate (E4P)","Apseud_SF42_IMS_13_13_20V_25Aug",199.0013,3.47,148.82,"20V",9801,75,3.6,-0.23,NA,2,0.126434286883507,0.132790561913614,-0.0766666666666667,0.205993527406405,0.216666666666667,26.4010100816869,22.6666666666667,0.25458446704376,"None",0
"55_tryptophan","Aniger_SF42_IMS_14_30_20V_25Aug",203.0826,1.17,151.79,"20V",6623,6289,9.3,-0.03,-0.278081560050069,2,0.986192023623829,0.0461880215351701,-0.0266666666666667,0.0115470053837925,0.00666666666666667,13.1144957966366,-5.7,0.998485905629303,"RT-CCS-DIA",2
"56_glutathione reduced","Aniger_SF53_IMS_32_48_20V_25Aug",306.0765,2.16,162.37,"20V",19532,14616,5.4,-0.14,-0.301348771324761,3,0.999623125181055,0,0,0.025,0.0275,14.3841058116242,-2.475,0.998423544178511,"RT-CCS-DIA",2
"57_mannitol","Aniger_SF42_IMS_12_28_20V_25Aug",181.0718,1.3,131.99,"20V",1593755,89.2837533589948,13.4,0,0.347677854382908,6,0.998449274093732,0,0,0.0171824938596845,0.00571428571428572,11.6395467102052,11.4714285714286,0.997472455432308,"RT-CCS-DIA",2
"58_uridine","Aniger_SF53_IMS_21_37_20V_25Aug",243.0623,1.06,151.12,"20V",192992,161890,12.6,0.0600000000000001,-0.188194812069882,7,0.999314086969968,0.021380899352994,0,0.0337797487937881,0.04625,12.1527701133763,2.8125,0.998984175708638,"RT-CCS-DIA",2
"59_adenosine","Apseud_SF42_IMS_02_02_20V_25Aug",266.0895,1.03,157.91,"20V",130327,117524,15,0.03,0.0558546007219305,4,0.997541646931332,0.042190046219458,0.014,0.0234520787991172,0.01,13.7678248100417,-0.74,0.998808411866015,"RT-CCS-DIA",2
"61_malonyl-CoA","TEST_Aniger_SF42_IMS_16_32_20V_24Aug",852.1083,5.38,248.74,"20V",156,156,31.7,0.48,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"63_uridine monophosphate","Apseud_SF42_IMS_08_08_20V_25Aug",323.0286,2.63,161.47,"20V",99273,4.96037806375821,48.7,-0.0700000000000003,0.0335666068000302,4,0.998134563366461,0.0456070170039656,0.016,0.0230217288664427,0.034,24.7202750793756,8.18,0.996733935087422,"None",0
"64_L-threonine","Aniger_SF53_IMS_21_37_20V_25Aug",118.051,1.61,120.69,"20V",6496,6342,5.3,0.01,-0.14383958902974,1,0.997987337348216,0.0282842712474618,-0.0199999999999999,0.0565685424949238,0.04,11.1015764646288,-2.55,0.999219148993643,"RT-CCS-DIA",2
"65_4-aminobutyric acid (GABA)","Aniger_SF42_IMS_02_18_20V_25Aug",102.0561,1.73,122.64,"20V",6464,6464,1.9,0.03,-0.26557403783431,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"66_2,4-diaminobutanoic acid","Apseud_SF42_IMS_11_11_20V_25Aug",117.067,3.27,124.07,"20V",4411,4411,-4.8,-0.0299999999999998,-0.276940436850161,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"p01_Aspartate semialdehyde","Apseud_SF42_IMS_16_16_20V_25Aug",116.071549,1.34,124.8,"20V",29735,29735,9.4,0.04,0.0527243589743557,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"p02_Succinate semialdehyde","Aniger_SF42_IMS_01_17_20V_25Aug",101.023869,1.46,115.06,"20V",12872,12872,3.6,0.16,0.0133843212237091,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
