"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription","ConfidenceLevel"
"20_6-phosphogluconic acid (6PG)","Muck_5042_IMS_5ul_R1_10_40V",275.017358,4.51,144.08,"40V",1224582,589.482946119624,11.6,-0.29,-0.24,3,0.999993155785182,0.0692820323027551,-0.0600000000000001,0.135984067694222,0.1325,6.91200646218834,10.525,0.982117843490931,"RT-CCS-DIA",2
"21_3-phosphoglyceric acid (3PG)","Muck_2224_IMS_5ul_R1_07_20V_redo",184.985664,4.75,125.05,"20V",410135,4.71922711721352,16.1,-0.05,-0.09,3,0.990250085796937,0.0923760430703402,-0.0800000000000001,0.0547722557505166,-0.02,7.0528363088902,13.825,0.989250799847034,"RT-CCS-DIA",2
"22_quinic acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",191.0561,1.35,134.75,"20V",234605,56823,12.4,-0.15,1.41,6,0.44315565420493,0.0885867882227313,0.0514285714285715,0.0597215762238964,0.1,19.3076718036171,20.6428571428571,0.214073759525677,"None",0
"23_protocatechuic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",153.0193,1.23,123.03,"20V",10519,7807,-13,0.03,-0.35,1,0.956672588819153,0.0848528137423856,0.0599999999999999,0.0565685424949238,0.04,14.0007142674936,-3.1,0.989469823690492,"RT-CCS-DIA",2
"26_mevalonic acid","CJ019_WT_IMS_5ul_R1_01_40V",147.0663,0.9,128.97,"40V",7985,7985,6.6,0,-1.49,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"27_mevalonate-5-phosphate (mev-5P)","Muck_2224_IMS_5ul_R3_09_20V_redo",227.0326,2.83,138.11,"20V",50433,122,64.1,-0.17,12.22,3,0.317645850890911,0.0382970843102536,-0.05,0.0556027577253743,-0.0825,28.8805586280229,22.4,0.02027868353124,"None",0
"28_mevalonate 5-diphosphate (mev-5PP)","Muck_1642_IMS_5ul_R3_06_20V_redo",306.9989,4.83,151.89,"20V",388660,360,-69.3,0.03,6.97,4,0.309362449024636,0.106160256216722,-0.0119999999999999,0.0739594483484024,-0.038,38.8482045917183,-37.14,0.00100723363755879,"None",0
"29_isopentenyl diphosphate (IPP)","CJ019_WT_IMS_5ul_R1_01_40V",244.9986,2.09,144.98,"40V",586078,9056,13.1,-0.01,0.37,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"31_geranyl diphopshate (GPP)","Muck_5042_IMS_5ul_R2_11_40V",313.0612,1.78,167.33,"40V",265528,984,2,0.18,0.51,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"32_farnesyl diphosphate (FPP)","Muck_1642_IMS_5ul_R3_06_20V_redo",381.1238,1.23,186.96,"20V",20626,19538,72.9,0.03,1.16,2,0.932386412313407,0.0230940107675851,0.0133333333333333,0.00577350269189625,-0.00666666666666666,61.0311669012918,2.43333333333333,0.00462742546497476,"None",0
"33_geranygeranyl diphosphate (GGPP)","Muck_1642_IMS_5ul_R3_06_20V_redo",449.1864,0.91,205.78,"20V",1127,4,0,-0.19,NA,1,0.332546916606353,0.0565685424949238,-0.04,0.0707106781186548,-0.05,9.26309883354377,6.55,0.334704551045361,"None",0
"34_itaconic acid","Muck_2224_IMS_5ul_R2_08_20V_redo",129.0193,1.36,118.68,"20V",885,885,-13.2,-0.04,2.18,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"35_gluconic acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",195.051,1.74,132.86,"20V",96090,75251,8.8,0.04,-0.28,5,0.995258717836657,0.0252982212813471,0,0.014142135623731,0.01,9.90615969990389,9.8,0.989226747475731,"RT-CCS-DIA",2
"36_2-ketogluconic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",193.0354,1.7,131.66,"20V",4912,4912,3.1,0.1,-0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"37_ribulose 5-phosphate","CJ019_WT_IMS_5ul_R3_03_20V_redo",229.0119,2.64,138.7,"20V",1503054,3905.70063694268,15,0.14,0.31,3,0.996410916595346,0.142361043360418,0.12,0.0529150262212918,0.01,7.80699472695266,15.425,0.984610159421309,"RT-CCS-DIA",2
"39_glutamic acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",146.0459,2.05,124.39,"20V",5370528,247.435483870968,14.8,0.05,-0.26,2,0.994781509317162,0,0,0.00577350269189626,-0.00666666666666667,9.90605875209712,24.9,0.988554067042557,"RT-CCS-DIA",2
"41_UDP-glucose","CJ019_WT_IMS_5ul_R2_02_20V_redo",565.0477,2.95,207.17,"20V",17034778,11269087,16.3,-0.15,0.4,7,0.999875262602285,0.014142135623731,-0.005,0.0752021086330506,-0.01625,8.84436866841592,11.4,0.993102324640693,"RT-CCS-DIA",2
"43_cis,cis-muconic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",141.0193,1.64,121.82,"20V",376843,376843,1.2,0.04,-0.38,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"44_trans, trans-muconic acid","CJ019_WT_IMS_5ul_R3_03_40V",141.0193,1.66,130.52,"40V",3406,3406,-11.9,-0.24,-7.02,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"45_dihydroxyacetone phosphate (DHAP)","Muck_5042_IMS_5ul_R3_12_20V_redo",168.9907,2.37,124.95,"20V",11220,10771,10.4,-0.03,-0.19,1,0.951465173234009,0.14142135623731,0.1,0.0212132034355964,0.015,8.76812408671319,4.2,0.994707603384822,"RT-CCS-DIA",2
"46_glutamine","CJ019_WT_IMS_5ul_R1_01_20V_redo",145.0619,1.78,127.59,"20V",23304,23304,10.3,-0.02,-0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"47_xylitol","CJ019_WT_IMS_5ul_R2_02_20V_redo",151.0612,1.19,125.27,"20V",6204,8.60196905766526,-39.2,-0.01,-3.65,2,0.981545273446181,0.04,-0.04,0.02,-0.02,25.3716377082758,-12.8,0.965796133900087,"None",0
"48_trehalose","CJ019_WT_IMS_5ul_R1_01_20V_redo",341.1089,1.89,169.82,"20V",101054,69075,10.9,0.09,-0.16,6,0.98907733426778,0.0367099311851581,0.0214285714285713,0.0258198889747161,0.00999999999999999,10.8076912648442,9.94285714285714,0.990281595032846,"RT-CCS-DIA",2
"49_phenylalanine","Muck_1642_IMS_5ul_R2_05_20V_redo",164.0717,1.23,139.88,"20V",180579,138924,9.8,0.03,0.15,5,0.997646057010998,0.118659175793531,0.08,0.0301109061083632,0.00333333333333333,10.9601855215442,10.2833333333333,0.990271017600116,"RT-CCS-DIA",2
"52_glucose","Muck_2224_IMS_5ul_R2_08_40V",179.0561,1.22,141.57,"40V",311,99,-5.3,-0.08,4.72,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"53_erythrose 4-phosphate (E4P)","CJ019_WT_IMS_5ul_R3_03_20V_redo",199.0013,3.5,148.82,"20V",130089,70708,11,-0.2,-0.4,3,0.996290578737841,0.02,-0.01,0.0496655480858378,-0.03,7.81878080862569,19.3,0.991334997842159,"RT-CCS-DIA",2
"54_sedoheptulose 7-phosphate (S7P)","CJ019_WT_IMS_5ul_R2_02_20V_redo",289.033,3.15,150.44,"20V",8939890,4657891,14.8,-0.15,-0.14,6,0.975634652381595,0.0151185789203691,0.00571428571428572,0.0260950643025148,-0.0214285714285714,7.00567796929918,19.4571428571429,0.988104431623873,"RT-CCS-DIA",2
"55_tryptophan","Muck_2224_IMS_5ul_R3_09_20V_redo",203.0826,1.22,151.79,"20V",130052,105615,15.3,0.02,0.15,3,0.998667981444737,0.02,0.01,0.014142135623731,-6.93889390390723e-18,7.16612401046293,12.5,0.986394540203922,"RT-CCS-DIA",2
"56_glutathione reduced","Muck_2224_IMS_5ul_R1_07_20V_redo",306.0765,2.6,162.37,"20V",297534,8.6083255067107,-51.3,0.3,0.08,6,0.97979660230197,0.123750901872616,0.0285714285714286,0.0531843156256751,0.0642857142857143,23.7908545854234,-2.51428571428571,0.985711028237341,"None",0
"57_mannitol","Muck_2224_IMS_5ul_R2_08_20V_redo",181.0718,1.31,131.99,"20V",1225757,929198,14.8,0.01,0.1,5,0.996504304736283,0.0163299316185545,-0.0333333333333334,0.0638748776906853,-0.02,4.40666162379943,18.1333333333333,0.989269972685035,"RT-CCS-DIA",2
"60_acetyl-CoA","CJ019_WT_IMS_5ul_R2_02_20V_redo",808.1185,2.72,248.76,"20V",626723,624361,10.7,0.02,-0.23,2,0.999998057741967,0.0230940107675851,0.0266666666666667,0.0208166599946613,0.0233333333333333,18.9770914525909,-0.9,0.993007312277168,"RT-CCS-DIA",2
"61_malonyl-CoA","Muck_5042_IMS_5ul_R1_10_40V",852.1083,4.55,248.74,"40V",2253,798,0.9,-0.35,NA,1,0.866369578788736,0,0,0,0,7.28319984622144,-4.25,0.947526133441202,"None",0
"63_uridine monophosphate","Muck_1642_IMS_5ul_R2_05_40V",323.0286,2.4,161.47,"40V",3357237,799.009896536212,13.2,-0.3,-0.18,6,0.971986288179622,0.0151185789203691,-0.00571428571428572,0.0330943816264649,0.0042857142857143,12.1141004028953,10.8142857142857,0.992546856123275,"RT-CCS-DIA",2
"64_L-threonine","Muck_2224_IMS_5ul_R2_08_20V_redo",118.051,1.89,120.69,"20V",30321,23020,2.5,0.29,0.45,1,0.976030426020578,0.106066017177982,0.075,0.00707106781186547,0.005,14.8492424049175,13,0.987656687706152,"RT-CCS-DIA",2
"65_4-aminobutyric acid (GABA)","CJ019_WT_IMS_5ul_R2_02_20V_redo",102.0561,2.05,122.64,"20V",410348,410348,10.6,0.35,0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"66_2,4-diaminobutanoic acid","Muck_5042_IMS_5ul_R2_11_20V_redo",117.067,3.38,124.07,"20V",7481,6.97444089456869,4.7,0.08,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
