"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription","ConfidenceLevel"
"28_mevalonate 5-diphosphate (mev-5PP)","Muck_1642_IMS_5ul_R3_06_20V_redo",306.9989,4.83,151.89,"20V",388660,360,-69.3,0.0300000000000002,NA,4,0.309362449024636,0.106160256216722,-0.0119999999999999,0.0739594483484024,-0.038,38.8482045917183,-37.14,0.00100723363755879,"None",0
"29_isopentenyl diphosphate (IPP)","CJ019_WT_IMS_5ul_R1_01_20V_redo",244.9986,2.09,144.98,"20V",348266,5291,6.8,-0.0100000000000002,0.373706718168039,2,0.507260101275124,0.128582010146573,0.146666666666667,0.0404145188432738,-0.0433333333333333,8.41981789193408,6.13333333333333,0.951228244187033,"None",0
"31_geranyl diphopshate (GPP)","Muck_5042_IMS_5ul_R1_10_20V_redo",313.0612,1.81,167.33,"20V",114776,1107,-2.3,0.21,NA,1,0.526571604478324,0.0282842712474619,-0.02,0.134350288425444,-0.095,9.97020561473032,4.75,0.863267344053566,"None",0
"32_farnesyl diphosphate (FPP)","CJ019_WT_IMS_5ul_R1_01_20V_redo",381.1238,1.19,186.96,"20V",3256,554,71.5,-0.01,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"33_geranygeranyl diphosphate (GGPP)","Muck_1642_IMS_5ul_R3_06_20V_redo",449.1864,0.91,205.78,"20V",1127,4,0,-0.19,NA,1,0.332546916606353,0.0565685424949238,-0.04,0.0707106781186548,-0.05,9.26309883354377,6.55,0.334704551045361,"None",0
"34_itaconic acid","Muck_2224_IMS_5ul_R2_08_20V_redo",129.0193,1.36,118.68,"20V",885,885,-13.2,-0.0399999999999998,2.17989551735759,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"35_gluconic acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",195.051,1.74,132.86,"20V",97358,75251,8.8,0.04,-0.282402528977876,6,0.99525214812574,0.0899470743853083,-0.0328571428571429,0.0149602648308619,0.00714285714285714,9.59677525203624,11.0142857142857,0.981694964744004,"RT-CCS-DIA",2
"36_2-ketogluconic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",193.0354,1.7,131.66,"20V",4912,4912,3.1,0.0999999999999999,-0.0643323712593027,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"37_ribulose 5-phosphate","CJ019_WT_IMS_5ul_R3_03_20V_redo",229.0119,2.64,138.7,"20V",1503054,3905.70063694268,15,0.14,0.314996395097339,3,0.996410916595346,0.142361043360418,0.12,0.0529150262212918,0.01,7.80699472695266,15.425,0.984610159421309,"RT-CCS-DIA",2
"39_glutamic acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",146.0459,2.05,124.39,"20V",5370528,247.435483870968,14.8,0.0499999999999998,-0.260712275906418,2,0.994781509317162,0,0,0.00577350269189626,-0.00666666666666667,9.90605875209712,24.9,0.988554067042557,"RT-CCS-DIA",2
"41_UDP-glucose","Muck_5042_IMS_5ul_R1_10_20V_redo",565.0477,2.95,207.17,"20V",11180804,169.142003022273,13.7,-0.15,-0.0571028623835384,8,0.999011310909038,0.101584666384472,-0.00222222222222217,0.0742929636267422,0.00222222222222222,11.3267382771917,7.8,0.99014232307074,"RT-CCS-DIA",2
"43_cis,cis-muconic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",141.0193,1.64,121.82,"20V",376843,376843,1.2,0.0399999999999998,-0.375143654572315,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"44_trans, trans-muconic acid","CJ019_WT_IMS_5ul_R3_03_40V",141.0193,1.66,130.52,"40V",3406,3406,-11.9,-0.24,-7.01578302175913,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"45_dihydroxyacetone phosphate (DHAP)","Muck_1642_IMS_5ul_R2_05_20V_redo",168.9907,2.32,124.95,"20V",11835,11553,15.2,-0.0800000000000001,-0.189275710284119,1,0.98608596500175,0.0282842712474619,0.02,0.0282842712474619,0.02,16.3341666454092,3.65,0.992913337204572,"RT-CCS-DIA",2
"46_glutamine","CJ019_WT_IMS_5ul_R1_01_20V_redo",145.0619,1.78,127.59,"20V",23304,23304,10.3,-0.02,-0.317658123677402,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"47_xylitol","CJ019_WT_IMS_5ul_R2_02_20V_redo",151.0612,1.19,125.27,"20V",6204,8.60196905766526,-39.2,-0.01,NA,2,0.981545273446181,0.04,-0.04,0.02,-0.02,25.3716377082758,-12.8,0.965796133900087,"None",0
"48_trehalose","CJ019_WT_IMS_5ul_R1_01_20V_redo",341.1089,1.89,169.82,"20V",101054,69075,10.9,0.0899999999999999,-0.155694264515366,6,0.98907733426778,0.0367099311851581,0.0214285714285713,0.0258198889747161,0.00999999999999999,10.8076912648442,9.94285714285714,0.990281595032846,"RT-CCS-DIA",2
"49_phenylalanine","Muck_1642_IMS_5ul_R2_05_20V_redo",164.0717,1.23,139.88,"20V",180579,138924,9.8,0.03,0.151129539605374,5,0.997646057010998,0.118659175793531,0.08,0.0301109061083632,0.00333333333333333,10.9601855215442,10.2833333333333,0.990271017600116,"RT-CCS-DIA",2
"52_glucose","Muck_1642_IMS_5ul_R2_05_40V",179.0561,1.38,141.57,"40V",1326,1326,6,0.0799999999999998,-5.89397471215653,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"53_erythrose 4-phosphate (E4P)","CJ019_WT_IMS_5ul_R3_03_20V_redo",199.0013,3.5,148.82,"20V",130089,70708,11,-0.2,-0.39504098911436,3,0.996290578737841,0.02,-0.01,0.0496655480858378,-0.03,7.81878080862569,19.3,0.991334997842159,"RT-CCS-DIA",2
"54_sedoheptulose 7-phosphate (S7P)","CJ019_WT_IMS_5ul_R2_02_20V_redo",289.033,3.15,150.44,"20V",8939890,4657891,14.8,-0.15,-0.787024727466098,6,0.975634652381595,0.0151185789203691,0.00571428571428572,0.0260950643025148,-0.0214285714285714,7.00567796929918,19.4571428571429,0.988104431623873,"RT-CCS-DIA",2
"55_tryptophan","CJ019_WT_IMS_5ul_R2_02_20V_redo",203.0826,1.23,151.79,"20V",145569,98007,14,0.03,0.152249818828643,5,0.989711797771495,0.058878405775519,-0.00666666666666667,0.0500666222813829,-0.0133333333333333,11.4807084566531,8.93333333333333,0.99255906588402,"RT-CCS-DIA",2
"56_glutathione reduced","Muck_2224_IMS_5ul_R1_07_20V_redo",306.0765,2.6,162.37,"20V",297534,8.6083255067107,-51.3,0.3,NA,6,0.97979660230197,0.123750901872616,0.0285714285714286,0.0531843156256751,0.0642857142857143,23.7908545854234,-2.51428571428571,0.985711028237341,"None",0
"57_mannitol","Muck_2224_IMS_5ul_R2_08_20V_redo",181.0718,1.31,131.99,"20V",1226031,929198,14.8,0.01,0.102356239109019,6,0.99650430501095,0.0151185789203691,-0.0342857142857143,0.0640312423743285,-0.01,10.5952370251471,14.4285714285714,0.99395522720993,"RT-CCS-DIA",2
"60_acetyl-CoA","Muck_1642_IMS_5ul_R3_06_40V",808.1185,2.72,248.76,"40V",313803,66.5480922098569,8.3,0.02,-0.226362759286055,10,0.994691672205759,0.0280259619898148,0.00363636363636368,0.0164039906452945,0.000909090909090906,19.1669222644354,4.10909090909091,0.993770423878506,"RT-CCS-DIA",2
"61_malonyl-CoA","Muck_5042_IMS_5ul_R1_10_40V",852.1083,4.55,248.74,"40V",2253,798,0.9,-0.350000000000001,NA,2,0.817300240367239,0,0,0,0,8.74890469335067,-0.166666666666667,0.955867038315259,"None",0
"63_uridine monophosphate","CJ019_WT_IMS_5ul_R1_01_40V",323.0286,2.41,161.47,"40V",11344647,2640.65583008236,15.7,-0.29,-0.180095373753632,8,0.977872123932335,0.02,0,0.0264575131106459,0.01,16.7906554699664,8.18888888888889,0.993545584805245,"RT-CCS-DIA",2
"64_L-threonine","Muck_2224_IMS_5ul_R2_08_20V_redo",118.051,1.89,120.69,"20V",30321,23020,2.5,0.29,0.449498715717958,1,0.976030426020578,0.106066017177982,0.075,0.00707106781186547,0.005,14.8492424049175,13,0.987656687706152,"RT-CCS-DIA",2
"65_4-aminobutyric acid (GABA)","CJ019_WT_IMS_5ul_R1_01_20V_redo",102.0561,2.03,122.64,"20V",360235,173.195984703633,11.1,0.33,1.18411611219831,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"66_2,4-diaminobutanoic acid","Muck_5042_IMS_5ul_R2_11_40V",117.067,3.35,124.07,"40V",6218,6218,8.4,0.0500000000000003,0.297976948496823,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
