"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription","ConfidenceLevel"
"28_mevalonate 5-diphosphate (mev-5PP)","IMS_40V_HAHM_36h_R2_08",306.9989,4.82,151.89,"40V",31276,29.9622093023256,-15.8,0.02,-0.21,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"29_isopentenyl diphosphate (IPP) *[M+Na-2H]","IMS_20V_HAHM_36h_R1_07",267.0663,2.21,153.4,"20V",868215,220.356745831228,11.3,0.11,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"31_geranyl diphopshate (GPP)","IMS_20V_HALM_60h_R1_16",313.0612,1.95,167.33,"20V",435450,4.15452647094951,25.9,0.35,-0.34,2,0.570789766983994,0.04618802153517,0.0533333333333332,0.135769412362775,0.126666666666667,16.2132661731065,7.7,0.0184844045377247,"None",0
"31_geranyl diphopshate (GPP) *[M-H]","IMS_20V_HALM_60h_R1_16",313.1061,1.65,166.3,"20V",4040295,51.0687031414586,15.6,0.05,0.27,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"32_farnesyl diphosphate (FPP)","IMS_20V_HALM_60h_R2_17",381.1238,0.64,186.96,"20V",1625441,16618,-30.3,-0.56,-5.37,3,0.392986747943164,0.259935889531759,-0.185,0.307828415409191,-0.3475,39.1716308910756,-28.35,0.0111363288521303,"None",0
"33_geranygeranyl diphosphate (GGPP)","IMS_20V_HALM_60h_R2_17",449.1864,0.64,205.78,"20V",15572407,3405,17.2,-0.46,2.06,3,0.0111417707976904,0.239095517872391,-0.315,0.215309854241122,-0.2525,12.3355853799756,1,0.00969929835387562,"None",0
"35_gluconic acid","IMS_20V_HALM_60h_R2_17",195.051,1.77,132.86,"20V",549954,169.759983361065,-4.9,0.07,-0.17,5,0.997739806679421,0.0219089023002067,0.02,0.022286019533929,0.0183333333333333,9.16602421991127,6,0.981816612556437,"RT-CCS-DIA",2
"36_2-ketogluconic acid","IMS_20V_LAHM_60h_R3_24",193.0354,1.87,131.66,"20V",30938,33.3098420413123,-9.3,0.27,0.06,1,0.99323436494297,0.0282842712474618,-0.0199999999999999,0.0212132034355964,0.015,0.848528137423858,-8.7,0.966309648906393,"RT-CCS-DIA",2
"38_ribose 5-phosphate","IMS_20V_LALM_36h_R2_02",229.0119,2.43,139.33,"20V",425178,11.2841532925324,-8.6,-0.27,-0.12,2,0.999206464021768,0.0230940107675851,0.0133333333333333,0.0305505046330389,0.0266666666666666,9.51752769017949,1.23333333333333,0.980412243106127,"RT-CCS-DIA",2
"39_glutamic acid","IMS_20V_HALM_36h_R2_05",146.0459,2.04,124.39,"20V",1912562,819.478140819144,0.6,0.04,0,2,0.998076814951737,0,0,0.04,0.04,13.6590629253987,12.9,0.982974799857618,"RT-CCS-DIA",2
"40_alanine","IMS_20V_HAHM_36h_R1_07",88.0404,1.3,116.55,"20V",72030,72030,-3,-0.3,-0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"41_UDP-glucose","IMS_40V_LALM_36h_R3_03",565.0477,2.99,207.17,"40V",23077524,33.8921395701054,-1.8,-0.11,0.31,10,0.995911509758745,0.0202259958738972,-0.00909090909090906,0.0213626692237566,0.00818181818181818,8.16383376963188,3.57272727272727,0.982326672256566,"RT-CCS-DIA",2
"42_glucose 1-phosphate (G1P)","IMS_40V_LALM_60h_R1_13",259.0224,3.3,148.5,"40V",197122,2.61027142403877,-4.2,-0.1,-0.39,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"43_cis,cis-muconic acid","IMS_20V_HAHM_36h_R1_07",141.0193,1.52,121.82,"20V",225140,225140,-15,-0.08,-0.07,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"44_trans, trans-muconic acid","IMS_20V_HAHM_60h_R2_20",141.0193,1.48,130.52,"20V",1151,1151,-51.6,-0.42,-6.73,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"45_dihydroxyacetone phosphate (DHAP)","IMS_20V_LAHM_36h_R2_11",168.9907,2.42,124.95,"20V",87417,2.25396825396825,5.8,0.02,NA,1,0.397475467354339,0.127279220613578,0.0899999999999999,0.0636396103067893,-0.045,1.4142135623731,6.8,0.00970869023597854,"None",0
"46_glutamine","IMS_20V_LAHM_36h_R1_10",145.0619,1.68,127.59,"20V",490956,20.7252411097421,-2.4,-0.12,-0.1,5,0.999468431967934,0.0475043857624396,-0.0416666666666667,0.0343025752191678,0.0616666666666667,3.56763226804557,2.8,0.976547906713592,"RT-CCS-DIA",2
"47_xylitol","IMS_20V_LALM_60h_R3_15",151.0612,1.21,125.27,"20V",7013900,24.882909329373,1.1,0.01,-0.17,4,0.996544169105525,0.0357770876399967,0.016,0.108949529599719,0.00800000000000001,7.28443546199704,5.74,0.973815597995908,"RT-CCS-DIA",2
"48_trehalose","IMS_20V_LAHM_36h_R2_11",341.1089,1.85,169.82,"20V",29783384,7.91256507295427,2,0.05,0.11,8,0.997763076293605,0.0133333333333333,0.00444444444444445,0.015,0.0166666666666667,7.10651109898521,9.2,0.984183528417654,"RT-CCS-DIA",2
"49_phenylalanine","IMS_40V_HAHM_60h_R1_19",164.0717,1.2,139.88,"40V",10973,10973,-12.7,0,0.19,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"50_arabitol","IMS_40V_HAHM_36h_R1_07",151.0612,1.21,125.27,"40V",2403853,20.8229200773925,1.9,0.01,-0.17,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"52_glucose","IMS_20V_LALM_36h_R3_03",179.0561,1.26,141.57,"20V",663,3.63265306122449,5.5,-0.04,-6.49,2,0.971357408641017,0.045092497528229,0.0433333333333334,0.0251661147842358,0.0233333333333333,6.26498204307083,-0.5,0.964561783950372,"None",0
"53_erythrose 4-phosphate (E4P)","IMS_40V_HAHM_36h_R1_07",199.0013,3.3,148.82,"40V",43260,10.61379700311,-7,0,0.19,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"54_sedoheptulose 7-phosphate (S7P)","IMS_20V_LAHM_60h_R1_22",289.033,3.02,150.44,"20V",4232513,10.0091956109635,-5.8,-0.28,-0.26,6,0.999877193687234,0.034572215654165,-0.0242857142857143,0.0163299316185545,0.01,7.80335703094386,8.27142857142857,0.980212086879682,"RT-CCS-DIA",2
"55_tryptophan","IMS_20V_LALM_60h_R2_14",203.0826,1.22,151.79,"20V",12366,25.5919395465995,-8.3,0.02,0.04,2,0.999789942788998,0.045092497528229,0.00333333333333334,0.0264575131106459,0.01,6.90096611593865,-7.33333333333333,0.966494428776435,"RT-CCS-DIA",2
"56_glutathione reduced","IMS_20V_LAHM_60h_R3_24",306.0765,2.08,162.37,"20V",15787080,10529201,-5.4,-0.22,-0.15,9,0.999083811509039,0,0,0.0179195734076208,0.019,8.1053137577216,5.85,0.98632665297309,"RT-CCS-DIA",2
"57_mannitol","IMS_20V_LAHM_60h_R2_23",181.0718,1.26,131.99,"20V",6568720,5873.20218579235,-0.6,-0.04,0.21,5,0.999682495779995,0,0,0.0147196014438797,0.0183333333333333,6.58677968863895,10.0166666666667,0.985697439005718,"RT-CCS-DIA",2
"58_uridine","IMS_40V_HAHM_36h_R2_08",243.0623,0.74,151.12,"40V",130712,122825,-2.1,-0.26,0.12,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"59_adenosine","IMS_20V_HAHM_60h_R1_19",266.0895,1.2,157.91,"20V",36043,579,9.6,0.2,2.1,6,0.0653348123785746,0.23828754138845,0.368571428571428,0.0489897948556636,0.09,30.9358860810394,-9.02857142857143,0.00889941436944183,"None",0
"60_acetyl-CoA","IMS_20V_HAHM_60h_R1_19",808.1185,2.76,248.76,"20V",15421,3.33333333333333,-16.6,0.06,-0.19,1,0.999994825967202,0.0282842712474619,-0.02,0.0424264068711929,0.03,9.89949493661167,-9.6,0.961652160923637,"RT-CCS-DIA",2
"61_malonyl-CoA","IMS_20V_HALM_60h_R3_18",852.1083,4.73,248.74,"20V",1537,14,0,-0.17,NA,2,0.0343345284735931,0.0665832811847939,-0.0733333333333333,0.0568624070307733,-0.0633333333333333,23.464938383327,-22.9666666666667,0.00278803698616945,"None",0
"63_uridine monophosphate","IMS_20V_HAHM_36h_R1_07",323.0286,2.25,161.47,"20V",12745815,34.607148612632,-6,0.05,0.19,9,0.999446914633902,0,0,0.0293636207273937,0.012,8.48721914933795,1.62,0.986027750126817,"RT-CCS-DIA",2
"64_L-threonine","IMS_20V_LALM_60h_R1_13",118.051,1.61,120.69,"20V",7499,44.390243902439,-15.1,0.01,-0.05,1,0.999413486796718,0.0282842712474618,-0.0199999999999999,0.00707106781186548,0.005,15.4149278298667,-4.2,0.960175840377482,"RT-CCS-DIA",2
"65_4-aminobutyric acid (GABA)","IMS_20V_HAHM_36h_R1_07",102.0561,2.04,122.64,"20V",169041,207.903304773562,4.9,0.34,-1.02,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"66_2,4-diaminobutanoic acid","IMS_20V_LAHM_36h_R1_10",117.067,3.18,124.07,"20V",2556,2556,-59.3,-0.12,-1.05,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
